quarter,area_code,sales_amount,transactions,floating_population,segment,dimension,average_ticket,year
20221,3120005,1220769006,48424,56610,60대 이상,age,25209.999297868824,2022
20222,3110091,114853894,2717,19652,60대 이상,age,42272.32020610968,2022
20222,3120005,2905369195,97905,67626,60대 이상,age,29675.391399826363,2022
20223,3110091,104612359,1947,17051,60대 이상,age,53730.02516692347,2022
20223,3120005,2122532312,71845,59678,60대 이상,age,29543.21542208922,2022
20224,3110091,101040433,1645,18003,60대 이상,age,61422.7556231003,2022
20224,3120005,2375941797,73269,61722,60대 이상,age,32427.654219383367,2022
20231,3110091,97096915,2219,17986,60대 이상,age,43757.05948625507,2023
20231,3120005,2726733197,60442,59527,60대 이상,age,45113.21923496906,2023
20232,3110091,135616433,3047,19329,60대 이상,age,44508.18280275681,2023
20232,3120005,3094488666,78201,64172,60대 이상,age,39570.96029462539,2023
20233,3110091,80665615,2278,22134,60대 이상,age,35410.717734855134,2023
20233,3120005,1949798251,65039,60309,60대 이상,age,29978.908823936406,2023
20234,3110091,89312551,1979,25636,60대 이상,age,45130.1419909045,2023
20234,3120005,2573578656,73467,63164,60대 이상,age,35030.403528114664,2023
20241,3110091,102079845,2358,23239,60대 이상,age,43290.85877862595,2024
20241,3120005,2070408712,66540,60299,60대 이상,age,31115.249654343253,2024
20242,3110091,98968282,2433,25891,60대 이상,age,40677.46896835183,2024
20242,3120005,3223128582,85353,66093,60대 이상,age,37762.335032160554,2024
20243,3110091,125633512,1972,25041,60대 이상,age,63708.67748478702,2024
20243,3120005,2392980386,72126,60931,60대 이상,age,33177.777583673014,2024
20244,3110091,135400836,2200,26180,60대 이상,age,61545.83454545455,2024
20244,3120005,3240020298,81201,65687,60대 이상,age,39901.23641334466,2024
20251,3110091,177160655,2412,30600,60대 이상,age,73449.69112769485,2025
20251,3120005,2151646723,61933,62787,60대 이상,age,34741.52266158591,2025
20252,3110091,208988292,2260,26690,60대 이상,age,92472.69557522124,2025
20252,3120005,3517318870,97586,65559,60대 이상,age,36043.27331789396,2025
20253,3110091,432679520,2103,26231,60대 이상,age,205743.94674274846,2025
20253,3120005,2335075956,68601,60040,60대 이상,age,34038.51191673591,2025
20254,3110091,92087852,1735,25959,60대 이상,age,53076.57175792507,2025
20254,3120005,3002165754,79649,66450,60대 이상,age,37692.4475385755,2025
20221,3110091,0,0,16915,00–06시,time,,2022
20221,3120005,31694416,46,56404,00–06시,time,689009.0434782609,2022
20222,3110091,0,0,21862,00–06시,time,,2022
20222,3120005,20668798,77,57181,00–06시,time,268425.94805194804,2022
20223,3110091,0,0,23783,00–06시,time,,2022
20223,3120005,75082382,553,54395,00–06시,time,135772.84267631103,2022
20224,3110091,0,0,20468,00–06시,time,,2022
20224,3120005,64255817,988,52641,00–06시,time,65036.2520242915,2022
20231,3110091,0,0,17799,00–06시,time,,2023
20231,3120005,41902936,470,54176,00–06시,time,89155.1829787234,2023
20232,3110091,0,0,18904,00–06시,time,,2023
20232,3120005,20516745,919,55723,00–06시,time,22325.07616974973,2023
20233,3110091,449529,11,23290,00–06시,time,40866.27272727273,2023
20233,3120005,46649452,880,55568,00–06시,time,53010.740909090906,2023
20234,3110091,0,0,23834,00–06시,time,,2023
20234,3120005,31877681,598,56213,00–06시,time,53307.158862876255,2023
20241,3110091,268330,6,23154,00–06시,time,44721.666666666664,2024
20241,3120005,2904959,355,53431,00–06시,time,8182.98309859155,2024
20242,3110091,0,0,26061,00–06시,time,,2024
20242,3120005,20088793,385,56178,00–06시,time,52178.68311688312,2024
20243,3110091,0,0,27880,00–06시,time,,2024
20243,3120005,1372454,163,54571,00–06시,time,8419.96319018405,2024
20244,3110091,0,0,27625,00–06시,time,,2024
20244,3120005,58095682,403,54349,00–06시,time,144158.01985111664,2024
20251,3110091,0,0,29937,00–06시,time,,2025
20251,3120005,9222116,346,53998,00–06시,time,26653.514450867053,2025
20252,3110091,0,0,28815,00–06시,time,,2025
20252,3120005,440127,100,49302,00–06시,time,4401.27,2025
20253,3110091,0,0,30430,00–06시,time,,2025
20253,3120005,3545624,321,48719,00–06시,time,11045.557632398753,2025
20254,3110091,0,0,26622,00–06시,time,,2025
20254,3120005,27724570,392,52244,00–06시,time,70725.94387755102,2025
20221,3110091,27140435,2188,33252,06–11시,time,12404.220749542961,2022
20221,3120005,486197402,45715,53494,06–11시,time,10635.401990593897,2022
20222,3110091,61248318,4536,35530,06–11시,time,13502.715608465609,2022
20222,3120005,874413950,88201,60911,06–11시,time,9913.87796056734,2022
20223,3110091,27836421,2412,33269,06–11시,time,11540.804726368158,2022
20223,3120005,773249754,106553,55906,06–11시,time,7256.949630700215,2022
20224,3110091,28628633,2183,34935,06–11시,time,13114.353183692167,2022
20224,3120005,704267926,93084,55858,06–11시,time,7565.93964591122,2022
20231,3110091,22107077,1694,34408,06–11시,time,13050.222550177095,2023
20231,3120005,566537904,78251,55964,06–11시,time,7240.008485514562,2023
20232,3110091,26916689,2048,34629,06–11시,time,13142.91455078125,2023
20232,3120005,874121072,126365,62093,06–11시,time,6917.430237803189,2023
20233,3110091,33538351,2333,38590,06–11시,time,14375.63266180883,2023
20233,3120005,908894096,139018,59666,06–11시,time,6537.959803766419,2023
20234,3110091,21925178,1690,41225,06–11시,time,12973.478106508875,2023
20234,3120005,861840649,98348,59302,06–11시,time,8763.174126570952,2023
20241,3110091,20976699,1505,39491,06–11시,time,13938.005980066446,2024
20241,3120005,655193087,86704,56192,06–11시,time,7556.665055822107,2024
20242,3110091,27956782,2029,43010,06–11시,time,13778.601281419418,2024
20242,3120005,1053219683,138289,65735,06–11시,time,7616.077077714062,2024
20243,3110091,36494506,1354,42109,06–11시,time,26953.10635155096,2024
20243,3120005,912019160,116013,62714,06–11시,time,7861.353124218837,2024
20244,3110091,13617156,962,42823,06–11시,time,14155.047817047816,2024
20244,3120005,944919807,102600,63303,06–11시,time,9209.74470760234,2024
20251,3110091,24727225,1375,44217,06–11시,time,17983.436363636363,2025
20251,3120005,901769587,77677,62323,06–11시,time,11609.222639906278,2025
20252,3110091,29826565,2452,42211,06–11시,time,12164.178221859707,2025
20252,3120005,1102424577,117231,64635,06–11시,time,9403.86567546127,2025
20253,3110091,12193748,926,43877,06–11시,time,13168.194384449243,2025
20253,3120005,993235229,98425,60505,06–11시,time,10091.29010922022,2025
20254,3110091,24540277,884,40341,06–11시,time,27760.4943438914,2025
20254,3120005,1086062309,78564,63919,06–11시,time,13823.918194083804,2025
20221,3110091,558948015,20613,36312,11–14시,time,27116.286566729734,2022
20221,3120005,4926225570,197663,43906,11–14시,time,24922.345456661085,2022
20222,3110091,830276027,30833,39899,11–14시,time,26928.162261213634,2022
20222,3120005,7929611394,324084,58698,11–14시,time,24467.765745917724,2022
20223,3110091,708711803,23885,36040,11–14시,time,29671.83600586142,2022
20223,3120005,6534440230,285906,52410,11–14시,time,22855.204962470183,2022
20224,3110091,606245563,19263,37111,11–14시,time,31472.02216684836,2022
20224,3120005,8462334582,282961,58395,11–14시,time,29906.36371090009,2022
20231,3110091,686044137,22434,40052,11–14시,time,30580.55349023803,2023
20231,3120005,6335617949,234359,54647,11–14시,time,27033.815424199627,2023
20232,3110091,733142127,24057,40715,11–14시,time,30475.21000124704,2023
20232,3120005,8915694559,308555,60814,11–14시,time,28894.992980181814,2023
20233,3110091,638121280,22087,41157,11–14시,time,28891.26092271472,2023
20233,3120005,7450416670,263447,53542,11–14시,time,28280.51437290992,2023
20234,3110091,623662642,19232,43452,11–14시,time,32428.381967554076,2023
20234,3120005,6827348873,257385,58206,11–14시,time,26525.822689744935,2023
20241,3110091,611034638,18556,42619,11–14시,time,32929.2217072645,2024
20241,3120005,5777118407,230508,53530,11–14시,time,25062.55057091294,2024
20242,3110091,626427590,20366,45220,11–14시,time,30758.498968869684,2024
20242,3120005,8725175312,325990,64626,11–14시,time,26765.162465106292,2024
20243,3110091,544981522,17096,43061,11–14시,time,31877.721221338325,2024
20243,3120005,6220862442,256588,56619,11–14시,time,24244.55719675121,2024
20244,3110091,597647054,16567,46665,11–14시,time,36074.54904327881,2024
20244,3120005,8575288334,273884,61989,11–14시,time,31309.928049831316,2024
20251,3110091,434493987,14309,46189,11–14시,time,30365.084003074986,2025
20251,3120005,5740828301,207851,56037,11–14시,time,27619.921487026764,2025
20252,3110091,501755817,15266,44982,11–14시,time,32867.53681383467,2025
20252,3120005,8833290906,327434,69446,11–14시,time,26977.31727920741,2025
20253,3110091,593308856,11328,45152,11–14시,time,52375.42867231638,2025
20253,3120005,6343540732,237698,56964,11–14시,time,26687.39632643102,2025
20254,3110091,376322300,10480,43401,11–14시,time,35908.61641221374,2025
20254,3120005,6810777705,221307,65157,11–14시,time,30775.24752945004,2025
20221,3110091,476428298,20377,43588,14–17시,time,23380.688913971633,2022
20221,3120005,4486035633,192229,44336,14–17시,time,23336.934765305963,2022
20222,3110091,562459768,27270,45764,14–17시,time,20625.587385405208,2022
20222,3120005,7592271114,320300,57137,14–17시,time,23703.625082734936,2022
20223,3110091,444600987,19223,41497,14–17시,time,23128.595276491702,2022
20223,3120005,5949186148,257115,51063,14–17시,time,23138.23055053186,2022
20224,3110091,348220872,15449,41752,14–17시,time,22540.026668392777,2022
20224,3120005,7858728327,276220,56987,14–17시,time,28450.975045253785,2022
20231,3110091,418686270,17879,45492,14–17시,time,23417.76777224677,2023
20231,3120005,6937661751,224894,56046,14–17시,time,30848.58533798145,2023
20232,3110091,435074074,19079,45900,14–17시,time,22803.819592221815,2023
20232,3120005,6533707159,260093,59310,14–17시,time,25120.657453295553,2023
20233,3110091,463507146,19069,46767,14–17시,time,24306.840736273534,2023
20233,3120005,4572354752,204112,52078,14–17시,time,22401.20498549816,2023
20234,3110091,453482386,16164,49487,14–17시,time,28055.084508784956,2023
20234,3120005,5716259356,226547,57200,14–17시,time,25232.11234754819,2023
20241,3110091,448992936,16097,48195,14–17시,time,27892.957445486736,2024
20241,3120005,4640445901,194823,53811,14–17시,time,23818.77858877032,2024
20242,3110091,433829136,17191,50269,14–17시,time,25235.82898028038,2024
20242,3120005,6066285734,264805,62875,14–17시,time,22908.501478446404,2024
20243,3110091,339436994,13061,49266,14–17시,time,25988.591532041955,2024
20243,3120005,4324105823,198962,55232,14–17시,time,21733.325072124324,2024
20244,3110091,431266528,13713,53074,14–17시,time,31449.466054109238,2024
20244,3120005,5854073168,229635,61441,14–17시,time,25492.948235242886,2024
20251,3110091,357955647,12801,53091,14–17시,time,27963.100304663698,2025
20251,3120005,4414257522,146580,56241,14–17시,time,30115.005607859188,2025
20252,3110091,435636463,11269,50150,14–17시,time,38657.952169669006,2025
20252,3120005,6478414362,233953,68182,14–17시,time,27691.093347809176,2025
20253,3110091,327343618,8502,52139,14–17시,time,38501.9545989179,2025
20253,3120005,3841380942,150059,55723,14–17시,time,25599.13728600084,2025
20254,3110091,272592581,8629,49538,14–17시,time,31590.28635994901,2025
20254,3120005,4944436744,174143,65727,14–17시,time,28392.968675169257,2025
20221,3110091,833513435,20687,46665,17–21시,time,40291.653453859915,2022
20221,3120005,3524646686,116975,42384,17–21시,time,30131.623731566575,2022
20222,3110091,1022624343,29924,51017,17–21시,time,34174.05236599385,2022
20222,3120005,6219337343,201074,50975,17–21시,time,30930.589449655352,2022
20223,3110091,900104332,22687,45781,17–21시,time,39674.89452109137,2022
20223,3120005,5493886257,182781,46006,17–21시,time,30057.206476603147,2022
20224,3110091,772869029,17089,45679,17–21시,time,45226.11206038972,2022
20224,3120005,5768549224,158214,46040,17–21시,time,36460.42211182322,2022
20231,3110091,734314926,18694,47294,17–21시,time,39280.781320209695,2023
20231,3120005,5150288436,126700,47414,17–21시,time,40649.47463299132,2023
20232,3110091,796782421,21207,47464,17–21시,time,37571.67072193144,2023
20232,3120005,5836210838,175969,51277,17–21시,time,33166.13061391495,2023
20233,3110091,805598184,20442,50694,17–21시,time,39408.97094217787,2023
20233,3120005,4957274501,155865,48448,17–21시,time,31804.924139479677,2023
20234,3110091,802351545,17742,53958,17–21시,time,45223.28626986811,2023
20234,3120005,5143391464,131040,48884,17–21시,time,39250.54536019536,2023
20241,3110091,827440672,18243,49657,17–21시,time,45356.61196075207,2024
20241,3120005,4272147245,115683,46172,17–21시,time,36929.77572331284,2024
20242,3110091,740995190,18969,52071,17–21시,time,39063.48199694238,2024
20242,3120005,6019708441,169679,53497,17–21시,time,35477.038649449845,2024
20243,3110091,773471072,16909,53992,17–21시,time,45743.1587911763,2024
20243,3120005,4637541232,146567,49939,17–21시,time,31641.100875367578,2024
20244,3110091,674936904,15201,56610,17–21시,time,44400.82257746201,2024
20244,3120005,5465570249,126885,51699,17–21시,time,43074.9911258226,2024
20251,3110091,730452365,13884,57341,17–21시,time,52611.08938346298,2025
20251,3120005,3521908592,87666,49429,17–21시,time,40174.16777313896,2025
20252,3110091,613345611,12723,52139,17–21시,time,48207.624852629095,2025
20252,3120005,5509703825,145713,54466,17–21시,time,37812.02655219507,2025
20253,3110091,895759999,12452,57120,17–21시,time,71937.03814648249,2025
20253,3120005,4669233392,117021,49718,17–21시,time,39900.81602447424,2025
20254,3110091,494437161,10072,53499,17–21시,time,49090.266183478954,2025
20254,3120005,4506968794,101837,51789,17–21시,time,44256.6924987971,2025
20221,3110091,82643285,655,15215,21–24시,time,126172.95419847328,2022
20221,3120005,275462135,4223,24918,21–24시,time,65229.01610229695,2022
20222,3110091,201486037,2270,18462,21–24시,time,88760.36872246696,2022
20222,3120005,551969399,11234,25601,21–24시,time,49133.82579668862,2022
20223,3110091,124543451,1352,17629,21–24시,time,92117.93713017751,2022
20223,3120005,580935319,12500,24507,21–24시,time,46474.82552,2022
20224,3110091,79648443,1187,17697,21–24시,time,67100.62594776748,2022
20224,3120005,590617103,9628,25390,21–24시,time,61343.69578313253,2022
20231,3110091,99649045,1305,17068,21–24시,time,76359.4214559387,2023
20231,3120005,525034958,6532,26205,21–24시,time,80378.89742804653,2023
20232,3110091,98916367,1284,16473,21–24시,time,77037.66900311527,2023
20232,3120005,512836353,10031,27578,21–24시,time,51125.14734323597,2023
20233,3110091,66647363,1180,18836,21–24시,time,56480.816101694916,2023
20233,3120005,493267116,9572,27112,21–24시,time,51532.29377350606,2023
20234,3110091,116068010,1147,19329,21–24시,time,101192.68526591107,2023
20234,3120005,607405843,8107,27057,21–24시,time,74923.62686567164,2023
20241,3110091,93066783,1164,17901,21–24시,time,79954.28092783505,2024
20241,3120005,334534594,4969,26213,21–24시,time,67324.32964379151,2024
20242,3110091,103808508,1193,19533,21–24시,time,87014.67560771164,2024
20242,3120005,406824350,7936,27239,21–24시,time,51263.14894153226,2024
20243,3110091,86035631,901,21012,21–24시,time,95489.04661487236,2024
20243,3120005,288367761,6595,26623,21–24시,time,43725.21015921152,2024
20244,3110091,117589082,1076,21114,21–24시,time,109283.53345724907,2024
20244,3120005,372370291,5513,26994,21–24시,time,67544.03972428804,2024
20251,3110091,57719165,886,22236,21–24시,time,65145.784424379235,2025
20251,3120005,257399904,3780,26659,21–24시,time,68095.2126984127,2025
20252,3110091,85871065,1090,20264,21–24시,time,78780.79357798165,2025
20252,3120005,293569891,6459,25777,21–24시,time,45451.29137637405,2025
20253,3110091,57859141,864,23392,21–24시,time,66966.59837962964,2025
20253,3120005,353598974,6949,25497,21–24시,time,50884.87178011225,2025
20254,3110091,41307679,648,20893,21–24시,time,63746.418209876545,2025
20254,3120005,446397314,5346,26297,21–24시,time,83501.18106995885,2025
